Team,Elo_Rank,Elo_Rating,Power_Rank,Power_Score,Wins,Win_Pct,xGF60,xGA60,xG_Balance_60,xG_Diff_Total,EV_xG_Pct,PP_xG60,PK_xGA60,GSAx60,Pythagorean,PDO,Roll_Win_20,Form_5,SOS,Line_Disparity
brazil,1,1574.3262294541487,1,0.9363412641481156,58,0.7073170731707317,2.9589038004817594,2.321763215939797,0.6371405845419624,45.17760000000001,0.5941420591699073,7.697343194900326,6.628473425790167,0.39854717388445,0.6246266808606425,1045.213675213675,0.75,0.6,1504.3240546078544,0.9762944802199708
pakistan,5,1541.5559684317495,2,0.8549525333852784,49,0.5975609756097561,3.22769006343684,2.464626101636272,0.7630639618005683,53.95950000000005,0.5864183773757284,7.827111861231698,7.158923867703222,0.2854807814787432,0.6379380612187087,1000.7527758222484,0.65,0.8,1500.472650620171,1.040708905614537
thailand,3,1552.7503441673373,3,0.8053301859087852,50,0.6097560975609756,3.226595819914701,2.397486182435373,0.8291096374793283,60.96410000000003,0.5944344790740581,7.615740702104082,6.725760732057402,-0.3279246027057818,0.6510628750891478,1010.851248855384,0.6,0.8,1499.463846378263,0.9607377280725504
peru,4,1542.8562518596202,4,0.7406075939581208,52,0.6341463414634146,2.647730027058524,2.2559572051042416,0.3917728219542824,30.51310000000001,0.5253425005568417,7.274435615853873,6.36346054011136,0.4412334960963344,0.5832840470147576,1016.777805289686,0.45,0.4,1493.8848880415803,1.2019324970833989
china,6,1536.6868317254105,5,0.7354211033122653,47,0.573170731707317,2.888137769238703,2.483207115762472,0.4049306534762307,31.603399999999965,0.5416709413777578,7.631029831016284,7.2795652393271535,0.344767071760784,0.5786485745098388,1020.878875984058,0.7,0.8,1499.6242691272842,1.0471137303621636
netherlands,2,1555.9176750334266,6,0.6955927080273637,54,0.6585365853658537,2.3934358285026187,2.316950908734493,0.0764849197681258,5.803800000000024,0.5167214582499593,7.9591917095130915,6.672065892956456,0.3408569156383636,0.5170442704177147,1017.5701015757526,0.65,0.6,1487.3736198269578,1.103406040839216
india,7,1523.2537862422562,7,0.6464114804187228,49,0.5975609756097561,2.589875153197608,2.6480821846029485,-0.0582070314053404,-4.40330000000003,0.4973518777773197,6.756449614794965,6.656515284737223,0.5328981514145682,0.488333466368508,1011.6929146871722,0.55,0.4,1496.7719008502354,1.1674144751939035
panama,10,1510.7701103008385,8,0.624511576711265,46,0.5609756097560976,2.8118448444067146,2.7404090535047256,0.0714357909019889,5.489300000000014,0.4957177020091223,7.569886920806667,7.176341493954041,0.3773139427655545,0.5135068516595819,1009.913336655146,0.35,0.0,1500.0280641124427,1.1995246175021987
iceland,8,1515.4607296392303,9,0.6183095081626883,46,0.5609756097560976,2.604902713242969,2.651507942178275,-0.0466052289353058,-3.419199999999961,0.4984561475388543,6.335013079602535,6.826708281751034,0.5006093696825612,0.4906911538483429,1030.2458346524522,0.65,0.6,1501.9442807303744,1.3165193056195372
uk,12,1508.761773364355,10,0.6113533987171806,39,0.4756097560975609,2.9618012647087038,2.8093677129617216,0.1524335517469817,12.077499999999986,0.5080888698878359,8.271632024176377,7.17223586545625,0.3615040912802406,0.5277116145865917,1007.3329904279208,0.45,0.6,1483.8286585429933,1.169851553428681
